Year,venue,team1,team2,toss_winner,toss_decision,1st innings win ratio,2nd innings win ratio,head to head ratio team1,head to head ratio team2,winner
2017,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,0.4444,0.5556,0.565217391,0.434782609,Sunrisers Hyderabad
2017,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,Bat,0.4167,0.5833,0.6,0.4,Royal Challengers Bangalore
2017,"Wankhede Stadium, Mumbai",Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Field,0.4231,0.5769,0.71875,0.28125,Mumbai Indians
2017,"Holkar Cricket Stadium, Indore",Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Bat,0.1111,0.8889,0.53125,0.46875,Punjab Kings
2017,"Wankhede Stadium, Mumbai",Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Field,0.4231,0.5769,0.545454545,0.454545455,Mumbai Indians
2017,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,Field,0.4111,0.5889,0.65625,0.34375,Kolkata Knight Riders
2017,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Field,0.4167,0.5833,0.424242424,0.575757576,Mumbai Indians
2017,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,0.4111,0.5889,0.653846154,0.346153846,Kolkata Knight Riders
2017,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Punjab Kings,Sunrisers Hyderabad,Bat,0.4405,0.5595,0.48484,0.51516,Delhi Capitals
2017,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,Bat,0.4405,0.5595,0.45455,0.54545,Kolkata Knight Riders
2017,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Punjab Kings,Punjab Kings,Field,0.4444,0.5556,0.68181,0.31819,Sunrisers Hyderabad
2017,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Bat,0.4444,0.5556,0.54167,0.45833,Sunrisers Hyderabad
2017,"Holkar Cricket Stadium, Indore",Punjab Kings,Mumbai Indians,Mumbai Indians,Field,0.1111,0.8889,0.46875,0.53125,Mumbai Indians
2017,"Wankhede Stadium, Mumbai",Mumbai Indians,Delhi Capitals,Delhi Capitals,Field,0.4231,0.5769,0.5588,0.4412,Mumbai Indians
2017,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,0.4111,0.5889,0.5757,0.4243,Kolkata Knight Riders
2017,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,Field,0.4111,0.5889,0.54545,0.45455,Kolkata Knight Riders
2017,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Sunrisers Hyderabad,Punjab Kings,Field,0.45,0.55,0.31819,0.68181,Sunrisers Hyderabad
2017,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Delhi Capitals,Punjab Kings,Field,0.45,0.55,0.51516,0.48484,Punjab Kings
2017,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Field,0.4444,0.5556,0.346153846,0.653846154,Sunrisers Hyderabad
2017,"Wankhede Stadium, Mumbai",Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Bat,0.4231,0.5769,0.575757576,0.424242424,Mumbai Indians
2017,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,Field,0.4405,0.5595,0.45833,0.54167,Delhi Capitals
2017,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,Field,0.4167,0.5833,0.46875,0.53125,Punjab Kings
2017,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Mumbai Indians,Delhi Capitals,Field,0.4405,0.5595,0.4412,0.5588,Mumbai Indians
2017,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Field,0.4167,0.5833,0.4243,0.5757,Kolkata Knight Riders
2017,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Bat,0.4444,0.5556,0.454545455,0.545454545,Sunrisers Hyderabad
2017,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Field,0.45,0.55,0.34375,0.65625,Punjab Kings
2017,"Wankhede Stadium, Mumbai",Mumbai Indians,Punjab Kings,Mumbai Indians,Field,0.4231,0.5769,0.53125,0.46875,Punjab Kings
2017,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Field,0.4111,0.5889,0.28125,0.71875,Mumbai Indians
2017,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,Bat,0.4405,0.5595,0.4,0.6,Royal Challengers Bangalore
2017,"M Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Field,0.4167,0.5833,0.346153846,0.653846154,Kolkata Knight Riders
2017,"M Chinnaswamy Stadium, Bengaluru",Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Field,0.4167,0.5833,0.71875,0.28125,Mumbai Indians
2018,"Wankhede Stadium, Mumbai",Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Field,0.4231,0.5769,0.5405,0.4595,Chennai Super Kings
2018,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Delhi Capitals,Punjab Kings,Field,0.45,0.55,0.51516,0.48484,Punjab Kings
2018,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,Field,0.4111,0.5889,0.5757,0.4243,Kolkata Knight Riders
2018,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Field,0.4444,0.5556,0.5,0.5,Sunrisers Hyderabad
2018,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Field,0.6053,0.3947,0.6333,0.3667,Chennai Super Kings
2018,"Sawai Mansingh Stadium, Rajasthan",Rajasthan Royals,Delhi Capitals,Delhi Capitals,Field,0.3571,0.6429,0.5357,0.4643,Rajasthan Royals
2018,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Field,0.4444,0.5556,0.454545455,0.545454545,Sunrisers Hyderabad
2018,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,Field,0.4167,0.5833,0.46875,0.53125,Royal Challengers Bangalore
2018,"Wankhede Stadium, Mumbai",Mumbai Indians,Delhi Capitals,Delhi Capitals,Field,0.4231,0.5769,0.5588,0.4412,Delhi Capitals
2018,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,0.4111,0.5889,0.653846154,0.346153846,Sunrisers Hyderabad
2018,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Field,0.4167,0.5833,0.5357,0.4643,Rajasthan Royals
2018,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Chennai Super Kings,Chennai Super Kings,Field,0.45,0.55,0.4642,0.5358,Punjab Kings
2018,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Field,0.4111,0.5889,0.54545,0.45455,Kolkata Knight Riders
2018,"Wankhede Stadium, Mumbai",Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,0.4231,0.5769,0.575757576,0.424242424,Mumbai Indians
2018,"Sawai Mansingh Stadium, Rajasthan",Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Field,0.3571,0.6429,0.5,0.5,Kolkata Knight Riders
2018,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Sunrisers Hyderabad,Punjab Kings,Bat,0.45,0.55,0.31819,0.68181,Punjab Kings
2018,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Field,0.549,0.451,0.5357,0.4643,Chennai Super Kings
2018,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Punjab Kings,Punjab Kings,Field,0.4111,0.5889,0.65625,0.34375,Punjab Kings
2018,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,Field,0.4167,0.5833,0.6,0.4,Royal Challengers Bangalore
2018,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Field,0.4444,0.5556,0.3,0.7,Chennai Super Kings
2018,"Sawai Mansingh Stadium, Rajasthan",Rajasthan Royals,Mumbai Indians,Mumbai Indians,Bat,0.3571,0.6429,0.4642,0.5358,Rajasthan Royals
2018,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Punjab Kings,Delhi Capitals,Field,0.4405,0.5595,0.48484,0.51516,Punjab Kings
2018,"Wankhede Stadium, Mumbai",Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Field,0.4231,0.5769,0.545454545,0.454545455,Sunrisers Hyderabad
2018,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Field,0.4167,0.5833,0.3226,0.6774,Chennai Super Kings
2018,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Punjab Kings,Punjab Kings,Field,0.4444,0.5556,0.68181,0.31819,Sunrisers Hyderabad
2018,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Field,0.4405,0.5595,0.45455,0.54545,Delhi Capitals
2018,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,Mumbai Indians,Mumbai Indians,Field,0.549,0.451,0.4595,0.5405,Mumbai Indians
2018,"Sawai Mansingh Stadium, Rajasthan",Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Bat,0.3571,0.6429,0.5,0.5,Sunrisers Hyderabad
2018,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Field,0.4167,0.5833,0.4243,0.5757,Kolkata Knight Riders
2018,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,Delhi Capitals,Delhi Capitals,Field,0.549,0.451,0.6333,0.3667,Chennai Super Kings
2018,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Field,0.4167,0.5833,0.424242424,0.575757576,Royal Challengers Bangalore
2018,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Rajasthan Royals,Rajasthan Royals,Field,0.4405,0.5595,0.4643,0.5357,Delhi Capitals
2018,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Field,0.4111,0.5889,0.3667,0.6333,Kolkata Knight Riders
2018,"Holkar Cricket Stadium, Indore",Punjab Kings,Mumbai Indians,Mumbai Indians,Field,0.1111,0.8889,0.46875,0.53125,Mumbai Indians
2018,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Field,0.549,0.451,0.6774,0.3226,Chennai Super Kings
2018,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,Bat,0.4444,0.5556,0.54167,0.45833,Sunrisers Hyderabad
2018,"Wankhede Stadium, Mumbai",Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Field,0.4231,0.5769,0.71875,0.28125,Mumbai Indians
2018,"Holkar Cricket Stadium, Indore",Punjab Kings,Rajasthan Royals,Punjab Kings,Field,0.1111,0.8889,0.4074,0.5926,Punjab Kings
2018,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,0.4444,0.5556,0.565217391,0.434782609,Sunrisers Hyderabad
2018,"Sawai Mansingh Stadium, Rajasthan",Rajasthan Royals,Punjab Kings,Rajasthan Royals,Bat,0.3571,0.6429,0.5926,0.4074,Rajasthan Royals
2018,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Field,0.4111,0.5889,0.28125,0.71875,Mumbai Indians
2018,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,Bat,0.4405,0.5595,0.45833,0.54167,Sunrisers Hyderabad
2018,"Sawai Mansingh Stadium, Rajasthan",Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Bat,0.3571,0.6429,0.4643,0.5357,Rajasthan Royals
2018,"Holkar Cricket Stadium, Indore",Punjab Kings,Kolkata Knight Riders,Punjab Kings,Field,0.1111,0.8889,0.34375,0.65625,Kolkata Knight Riders
2018,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,0.4405,0.5595,0.4,0.6,Royal Challengers Bangalore
2018,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,Field,0.549,0.451,0.7,0.3,Chennai Super Kings
2018,"Wankhede Stadium, Mumbai",Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Field,0.4231,0.5769,0.5358,0.4642,Rajasthan Royals
2018,"Holkar Cricket Stadium, Indore",Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,0.1111,0.8889,0.53125,0.46875,Royal Challengers Bangalore
2018,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,Field,0.4111,0.5889,0.5,0.5,Kolkata Knight Riders
2018,"Wankhede Stadium, Mumbai",Mumbai Indians,Punjab Kings,Punjab Kings,Field,0.4231,0.5769,0.53125,0.46875,Mumbai Indians
2018,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,0.4167,0.5833,0.434782609,0.565217391,Royal Challengers Bangalore
2018,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Chennai Super Kings,Chennai Super Kings,Field,0.4405,0.5595,0.3667,0.6333,Delhi Capitals
2018,"Sawai Mansingh Stadium, Rajasthan",Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,Bat,0.3571,0.6429,0.4643,0.5357,Rajasthan Royals
2018,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Bat,0.4444,0.5556,0.346153846,0.653846154,Kolkata Knight Riders
2018,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Mumbai Indians,Delhi Capitals,Bat,0.4405,0.5595,0.4412,0.5588,Delhi Capitals
2018,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,Punjab Kings,Chennai Super Kings,Field,0.549,0.451,0.5358,0.4642,Chennai Super Kings
2018,"Wankhede Stadium, Mumbai",Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Field,0.4231,0.5769,0.3,0.7,Chennai Super Kings
2018,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Field,0.4111,0.5889,0.5,0.5,Kolkata Knight Riders
2018,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Field,0.4111,0.5889,0.653846154,0.346153846,Sunrisers Hyderabad
2018,"Wankhede Stadium, Mumbai",Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,Field,0.4231,0.5769,0.7,0.3,Chennai Super Kings
2019,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Field,0.6053,0.3947,0.6774,0.3226,Chennai Super Kings
2019,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Field,0.4111,0.5889,0.653846154,0.346153846,Kolkata Knight Riders
2019,"Wankhede Stadium, Mumbai",Mumbai Indians,Delhi Capitals,Mumbai Indians,Field,0.4231,0.5769,0.5588,0.4412,Delhi Capitals
2019,"Sawai Mansingh Stadium, Rajasthan",Rajasthan Royals,Punjab Kings,Rajasthan Royals,Field,0.3571,0.6429,0.5926,0.4074,Punjab Kings
2019,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Chennai Super Kings,Delhi Capitals,Bat,0.4405,0.5595,0.3667,0.6333,Chennai Super Kings
2019,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Punjab Kings,Punjab Kings,Field,0.4111,0.5889,0.65625,0.34375,Kolkata Knight Riders
2019,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,Field,0.4167,0.5833,0.424242424,0.575757576,Mumbai Indians
2019,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Bat,0.4444,0.5556,0.5,0.5,Sunrisers Hyderabad
2019,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Mumbai Indians,Punjab Kings,Field,0.45,0.55,0.46875,0.53125,Punjab Kings
2019,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,Field,0.4405,0.5595,0.45455,0.54545,Delhi Capitals
2019,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,0.4444,0.5556,0.565217391,0.434782609,Sunrisers Hyderabad
2019,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Field,0.6053,0.3947,0.5357,0.4643,Chennai Super Kings
2019,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Delhi Capitals,Delhi Capitals,Field,0.45,0.55,0.51516,0.48484,Punjab Kings
2019,"Sawai Mansingh Stadium, Rajasthan",Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,Field,0.3571,0.6429,0.4643,0.5357,Rajasthan Royals
2019,"Wankhede Stadium, Mumbai",Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Field,0.4231,0.5769,0.5405,0.4595,Mumbai Indians
2019,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,0.4405,0.5595,0.45833,0.54167,Sunrisers Hyderabad
2019,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Field,0.4167,0.5833,0.4243,0.5757,Kolkata Knight Riders
2019,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Punjab Kings,Chennai Super Kings,Bat,0.6053,0.3947,0.5358,0.4642,Chennai Super Kings
2019,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Field,0.4444,0.5556,0.454545455,0.545454545,Mumbai Indians
2019,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,Field,0.4167,0.5833,0.6,0.4,Delhi Capitals
2019,"Sawai Mansingh Stadium, Rajasthan",Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Field,0.3571,0.6429,0.5,0.5,Kolkata Knight Riders
2019,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Sunrisers Hyderabad,Punjab Kings,Field,0.45,0.55,0.31819,0.68181,Punjab Kings
2019,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Field,0.6053,0.3947,0.6333,0.3667,Chennai Super Kings
2019,"Wankhede Stadium, Mumbai",Mumbai Indians,Punjab Kings,Mumbai Indians,Field,0.4231,0.5769,0.53125,0.46875,Mumbai Indians
2019,"Sawai Mansingh Stadium, Rajasthan",Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Field,0.3571,0.6429,0.4643,0.5357,Chennai Super Kings
2019,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Field,0.4111,0.5889,0.54545,0.45455,Delhi Capitals
2019,"Wankhede Stadium, Mumbai",Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Field,0.4231,0.5769,0.5358,0.4642,Rajasthan Royals
2019,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,0.45,0.55,0.53125,0.46875,Royal Challengers Bangalore
2019,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Field,0.4111,0.5889,0.3667,0.6333,Chennai Super Kings
2019,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Field,0.4444,0.5556,0.54167,0.45833,Delhi Capitals
2019,"Wankhede Stadium, Mumbai",Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Field,0.4231,0.5769,0.575757576,0.424242424,Mumbai Indians
2019,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Rajasthan Royals,Rajasthan Royals,Field,0.45,0.55,0.4074,0.5926,Punjab Kings
2019,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Bat,0.4444,0.5556,0.3,0.7,Sunrisers Hyderabad
2019,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Mumbai Indians,Mumbai Indians,Bat,0.4405,0.5595,0.4412,0.5588,Mumbai Indians
2019,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,Field,0.4111,0.5889,0.5757,0.4243,Royal Challengers Bangalore
2019,"Sawai Mansingh Stadium, Rajasthan",Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Field,0.3571,0.6429,0.4642,0.5358,Rajasthan Royals
2019,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Punjab Kings,Delhi Capitals,Field,0.4405,0.5595,0.48484,0.51516,Delhi Capitals
2019,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Field,0.4444,0.5556,0.346153846,0.653846154,Sunrisers Hyderabad
2019,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Field,0.4167,0.5833,0.3226,0.6774,Royal Challengers Bangalore
2019,"Sawai Mansingh Stadium, Rajasthan",Rajasthan Royals,Delhi Capitals,Delhi Capitals,Field,0.3571,0.6429,0.5357,0.4643,Delhi Capitals
2019,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,Field,0.6053,0.3947,0.7,0.3,Chennai Super Kings
2019,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Punjab Kings,Punjab Kings,Field,0.4167,0.5833,0.46875,0.53125,Royal Challengers Bangalore
2019,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Field,0.4111,0.5889,0.5,0.5,Rajasthan Royals
2019,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Field,0.6053,0.3947,0.4595,0.5405,Mumbai Indians
2019,"Sawai Mansingh Stadium, Rajasthan",Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,Field,0.3571,0.6429,0.5,0.5,Rajasthan Royals
2019,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,Bat,0.4405,0.5595,0.4,0.6,Delhi Capitals
2019,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Field,0.4111,0.5889,0.28125,0.71875,Kolkata Knight Riders
2019,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Punjab Kings,Punjab Kings,Field,0.4444,0.5556,0.68181,0.31819,Sunrisers Hyderabad
2019,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Field,0.4167,0.5833,0.5357,0.4643,Royal Challengers Bangalore
2019,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Delhi Capitals,Delhi Capitals,Field,0.6053,0.3947,0.6333,0.3667,Chennai Super Kings
2019,"Wankhede Stadium, Mumbai",Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Bat,0.4231,0.5769,0.545454545,0.454545455,Mumbai Indians
2019,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Field,0.45,0.55,0.34375,0.65625,Kolkata Knight Riders
2019,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Rajasthan Royals,Rajasthan Royals,Bat,0.4405,0.5595,0.4643,0.5357,Delhi Capitals
2019,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,Field,0.4167,0.5833,0.434782609,0.565217391,Royal Challengers Bangalore
2019,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Chennai Super Kings,Punjab Kings,Field,0.45,0.55,0.4642,0.5358,Punjab Kings
2019,"Wankhede Stadium, Mumbai",Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Field,0.4231,0.5769,0.71875,0.28125,Mumbai Indians
2019,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Bat,0.6053,0.3947,0.5405,0.4595,Mumbai Indians
